100 90 80
255 60 20
0.235 0.133 0.129
2.0
6 147 188
0 0.000000 0.000000 -0.000000 0.012000
1 0.076516 0.000000 -0.001584 0.011333
2 0.305704 0.000000 0.009027 0.010000
3 0.561464 0.000000 0.021571 0.008667
4 0.777308 0.000000 0.025683 0.007333
5 0.945732 0.000000 0.032173 0.006000
0 0.897157 -0.005395 0.096161 0.597444 0.321929
1 0.836714 -0.022119 0.153973 0.601089 0.273712
2 0.782530 -0.050153 0.217363 0.600047 0.225495
3 0.758160 -0.076569 0.272994 0.592234 0.189183
4 0.746974 -0.102265 0.323630 0.574005 0.157634
5 0.733306 -0.140851 0.387142 0.566432 0.121005
6 0.715703 -0.179993 0.438536 0.555448 0.086356
7 0.684772 -0.234758 0.495589 0.547439 0.040991
8 0.755705 -0.153081 0.419118 0.547440 0.115369
9 0.810873 -0.112157 0.376072 0.539465 0.158503
10 0.855472 -0.085310 0.341499 0.540148 0.189183
11 0.898394 -0.056976 0.291061 0.534417 0.233888
12 0.912277 -0.037734 0.243461 0.545059 0.261243
13 0.936365 -0.021995 0.194902 0.551852 0.292294
14 0.927166 -0.045121 0.265492 0.531294 0.259426
15 0.911341 -0.071752 0.325635 0.517490 0.222430
16 0.910861 -0.104058 0.386310 0.495833 0.195690
17 0.922049 -0.135726 0.437623 0.470941 0.173027
18 0.940738 -0.173211 0.490349 0.445572 0.151197
19 0.961493 -0.219100 0.546157 0.417360 0.138793
20 0.988184 -0.264012 0.593645 0.382342 0.120953
21 1.013038 -0.339700 0.664297 0.340793 0.085465
22 1.025695 -0.416575 0.727879 0.303666 0.048338
23 1.040209 -0.510686 0.796480 0.262630 0.007618
24 1.049612 -0.424085 0.730688 0.292545 0.055306
25 1.064707 -0.328350 0.646203 0.328558 0.111502
26 1.100216 -0.243259 0.550785 0.356758 0.180511
27 1.122584 -0.171161 0.451962 0.384441 0.240695
28 1.120826 -0.124013 0.378799 0.418355 0.275981
29 1.109952 -0.090657 0.320914 0.445357 0.298643
30 1.084236 -0.055698 0.252447 0.476578 0.322269
